id,queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,remarks,created_at,called_at,queue_event
251,M150,150,Male,Male,Archived,16,2026-06-08T02:57:02.38536+00:00,2026-06-08T02:59:06.886027+00:00,,2026-06-08T02:55:42.673437+00:00,2026-06-08T02:57:02.514936+00:00,AY2526_Y3P1
250,M1,1,Male,Handicap,Archived,15,2026-06-08T02:56:46.008306+00:00,2026-06-08T02:58:37.177236+00:00,,2026-06-08T02:53:39.029624+00:00,2026-06-08T02:56:46.213165+00:00,AY2526_Y3P1
249,M33,33,Male,Handicap,Archived,14,2026-06-08T02:54:36.900137+00:00,2026-06-08T02:56:41.916011+00:00,,2026-06-08T02:51:35.483146+00:00,2026-06-08T02:54:37.380255+00:00,AY2526_Y3P1
248,M60,60,Male,Male,Archived,13,2026-06-08T02:54:19.199138+00:00,2026-06-08T02:56:57.372935+00:00,,2026-06-08T02:45:42.867304+00:00,2026-06-08T02:54:19.334976+00:00,AY2526_Y3P1
247,M75,75,Male,Handicap,Archived,12,2026-06-08T02:51:56.571812+00:00,2026-06-08T02:54:31.751233+00:00,,2026-06-08T02:45:41.347051+00:00,2026-06-08T02:51:56.752662+00:00,AY2526_Y3P1
246,M98,98,Male,Male,Archived,11,2026-06-08T02:51:21.208131+00:00,2026-06-08T02:54:16.476166+00:00,,2026-06-08T02:44:55.753532+00:00,2026-06-08T02:51:21.333244+00:00,AY2526_Y3P1
245,M135,135,Male,Handicap,Archived,10,2026-06-08T02:49:31.488642+00:00,2026-06-08T02:51:53.983753+00:00,,2026-06-08T02:42:54.684163+00:00,2026-06-08T02:50:03.218036+00:00,AY2526_Y3P1
244,M41,41,Male,Male,Archived,9,2026-06-08T02:48:53.334699+00:00,2026-06-08T02:51:16.003053+00:00,,2026-06-08T02:36:40.924205+00:00,2026-06-08T02:48:53.465832+00:00,AY2526_Y3P1
243,M80,80,Male,Handicap,Archived,8,2026-06-08T02:47:10.789071+00:00,2026-06-08T02:49:28.100029+00:00,,2026-06-08T02:33:36.021716+00:00,2026-06-08T02:47:44.709942+00:00,AY2526_Y3P1
242,M18,18,Male,Handicap,Archived,8,2026-06-08T02:33:24.568049+00:00,2026-06-08T02:33:27.968133+00:00,,2026-06-08T02:33:19.67813+00:00,2026-06-08T02:33:24.717044+00:00,AY2526_Y3P1
241,M44,44,Male,Male,Archived,7,2026-06-08T02:47:07.409057+00:00,2026-06-08T02:48:49.899493+00:00,,2026-06-08T02:31:48.569774+00:00,2026-06-08T02:47:07.597628+00:00,AY2526_Y3P1
240,M115,115,Male,Male,Archived,6,2026-06-08T02:31:09.468938+00:00,2026-06-08T02:31:54.183684+00:00,,2026-06-08T02:31:04.535331+00:00,2026-06-08T02:31:09.59881+00:00,AY2526_Y3P1
239,M92,92,Male,Male,Archived,5,2026-06-08T02:41:32.200966+00:00,2026-06-08T02:47:04.067021+00:00,,2026-06-08T02:30:25.15086+00:00,2026-06-08T02:41:32.41394+00:00,AY2526_Y3P1
238,M51,51,Male,Male,Archived,4,2026-06-08T02:38:34.671494+00:00,2026-06-08T02:41:29.789377+00:00,,2026-06-08T02:26:02.079172+00:00,2026-06-08T02:39:27.620161+00:00,AY2526_Y3P1
237,M36,36,Male,Male,Archived,3,2026-06-08T02:35:59.740229+00:00,2026-06-08T02:38:32.735952+00:00,,2026-06-08T02:22:32.130251+00:00,2026-06-08T02:35:59.877099+00:00,AY2526_Y3P1
236,F76,76,Female,Female,Archived,2,2026-06-08T02:30:33.397236+00:00,2026-06-08T02:35:00.685017+00:00,,2026-06-08T02:19:38.181701+00:00,2026-06-08T02:32:19.166922+00:00,AY2526_Y3P1
235,M61,61,Male,Male,Archived,1,2026-06-08T02:31:57.571961+00:00,2026-06-08T02:35:57.818028+00:00,,2026-06-08T02:18:28.309174+00:00,2026-06-08T02:32:22.59685+00:00,AY2526_Y3P1
234,F34,34,Female,Female,Archived,1,2026-06-08T01:49:01.434806+00:00,2026-06-08T01:49:03.924087+00:00,,2026-06-08T00:59:37.420226+00:00,2026-06-08T01:49:01.589241+00:00,AY2526_Y3P1
