queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
F47,47,Female,Female,Archived,49,11:14:15 AM,11:17:21 AM,2026-06-02T03:14:17.373093+00:00,2026-06-02T03:05:33.089731+00:00
F83,83,Female,Female,Archived,47,11:07:17 AM,11:10:56 AM,,2026-06-02T03:03:27.538792+00:00
M78,78,Male,Male,Archived,46,11:05:59 AM,11:08:32 AM,2026-06-02T03:06:11.495214+00:00,2026-06-02T03:02:19.260817+00:00
F35,35,Female,Female,Archived,45,11:05:56 AM,11:07:14 AM,2026-06-02T03:06:10.184796+00:00,2026-06-02T02:59:19.187665+00:00
M65,65,Male,Male,Archived,44,11:02:41 AM,11:05:51 AM,2026-06-02T03:02:45.148779+00:00,2026-06-02T02:59:01.509125+00:00
F66,66,Female,Female,Archived,43,11:03:13 AM,11:05:53 AM,2026-06-02T03:03:16.149255+00:00,2026-06-02T02:58:44.581585+00:00
F90,90,Female,Female,Archived,42,10:59:51 AM,11:03:11 AM,2026-06-02T03:00:02.017083+00:00,2026-06-02T02:58:34.44485+00:00
M55,55,Male,Male,Archived,41,11:00:32 AM,11:02:38 AM,2026-06-02T03:00:33.988565+00:00,2026-06-02T02:58:20.873452+00:00
M31,31,Male,Male,Archived,40,10:57:39 AM,11:00:28 AM,2026-06-02T02:57:42.67616+00:00,2026-06-02T02:57:29.033496+00:00
F26,26,Female,Female,Archived,39,10:57:10 AM,10:59:47 AM,2026-06-02T02:57:46.274599+00:00,2026-06-02T02:56:26.81383+00:00
F150,150,Female,Female,Archived,38,10:54:28 AM,10:57:06 AM,,2026-06-02T02:54:20.31877+00:00
M113,113,Male,Male,Archived,37,10:55:01 AM,10:57:24 AM,2026-06-02T02:55:31.468361+00:00,2026-06-02T02:49:37.565285+00:00
M96,96,Male,Male,Archived,36,10:50:30 AM,10:54:59 AM,2026-06-02T02:50:46.59026+00:00,2026-06-02T02:38:57.912307+00:00
M18,18,Male,Male,Archived,35,10:47:41 AM,10:50:28 AM,2026-06-02T02:47:45.282646+00:00,2026-06-02T02:38:45.944482+00:00
F159,159,Female,Female,Archived,34,10:37:53 AM,10:42:14 AM,,2026-06-02T02:37:42.544204+00:00
M61,61,Male,Male,Archived,33,10:44:15 AM,10:47:36 AM,2026-06-02T02:44:17.394079+00:00,2026-06-02T02:31:17.171283+00:00
F50,50,Female,Female,Archived,32,10:31:21 AM,10:33:50 AM,2026-06-02T02:31:25.203091+00:00,2026-06-02T02:31:12.622971+00:00
M89,89,Male,Male,Archived,31,10:39:50 AM,10:43:13 AM,2026-06-02T02:39:55.958607+00:00,2026-06-02T02:30:30.624221+00:00
M70,70,Male,Male,Archived,30,10:36:48 AM,10:39:47 AM,2026-06-02T02:36:50.570664+00:00,2026-06-02T02:29:00.650745+00:00
M158,158,Male,Handicap,Archived,29,10:35:30 AM,10:43:11 AM,2026-06-02T02:35:31.950507+00:00,2026-06-02T02:28:35.725444+00:00
M161,161,Male,Male,Archived,28,10:34:54 AM,10:36:45 AM,2026-06-02T02:34:59.003962+00:00,2026-06-02T02:27:40.957156+00:00
M86,86,Male,Handicap,Archived,27,10:33:03 AM,10:35:25 AM,2026-06-02T02:33:05.725171+00:00,2026-06-02T02:27:12.863719+00:00
M88,88,Male,Male,Archived,26,10:32:49 AM,10:34:51 AM,2026-06-02T02:32:54.086735+00:00,2026-06-02T02:25:13.573429+00:00
M143,143,Male,Handicap,Archived,25,10:30:30 AM,10:32:59 AM,2026-06-02T02:30:35.185103+00:00,2026-06-02T02:25:01.138851+00:00
M100,100,Male,Male,Archived,24,10:30:03 AM,10:32:44 AM,2026-06-02T02:30:33.874506+00:00,2026-06-02T02:24:12.435076+00:00
M84,84,Male,Handicap,Archived,23,10:28:14 AM,10:30:24 AM,2026-06-02T02:28:19.312159+00:00,2026-06-02T02:21:54.491178+00:00
M9,9,Male,Male,Archived,22,10:27:48 AM,10:30:00 AM,2026-06-02T02:28:04.513791+00:00,2026-06-02T02:21:23.346569+00:00
F144,144,Female,Female,Archived,21,10:21:27 AM,10:24:39 AM,2026-06-02T02:21:43.859299+00:00,2026-06-02T02:21:18.435525+00:00
M31,31,Male,Handicap,Archived,20,10:25:04 AM,10:28:07 AM,2026-06-02T02:25:25.270926+00:00,2026-06-02T02:19:08.239813+00:00
M135,135,Male,Male,Archived,19,10:24:32 AM,10:27:45 AM,2026-06-02T02:24:37.121612+00:00,2026-06-02T02:14:10.135064+00:00
M19,19,Male,Handicap,Archived,18,10:22:18 AM,10:25:00 AM,2026-06-02T02:22:38.638979+00:00,2026-06-02T02:13:49.874103+00:00
M109,109,Male,Male,Archived,17,10:21:05 AM,10:24:28 AM,2026-06-02T02:21:39.677551+00:00,2026-06-02T02:13:36.679161+00:00
F111,111,Female,Female,Archived,16,10:17:04 AM,10:20:56 AM,2026-06-02T02:17:25.338094+00:00,2026-06-02T02:09:55.190023+00:00
M38,38,Male,Handicap,Archived,15,10:19:21 AM,10:22:08 AM,2026-06-02T02:19:30.532327+00:00,2026-06-02T02:08:42.877158+00:00
M95,95,Male,Male,Archived,14,10:18:05 AM,10:21:02 AM,2026-06-02T02:18:09.529853+00:00,2026-06-02T02:08:26.98774+00:00
F14,14,Female,Female,Archived,13,10:14:20 AM,10:17:00 AM,2026-06-02T02:14:29.967728+00:00,2026-06-02T02:08:12.839973+00:00
F72,72,Female,Female,Archived,12,10:11:34 AM,10:14:11 AM,2026-06-02T02:11:40.746718+00:00,2026-06-02T02:07:43.053378+00:00
F174,174,Female,Female,Archived,11,10:08:49 AM,10:11:30 AM,2026-06-02T02:08:53.435697+00:00,2026-06-02T02:07:30.169702+00:00
M133,133,Male,Handicap,Archived,10,10:16:37 AM,10:19:17 AM,2026-06-02T02:16:45.581207+00:00,2026-06-02T02:06:41.550506+00:00
M46,46,Male,Male,Archived,9,10:15:21 AM,10:18:02 AM,2026-06-02T02:16:05.530522+00:00,2026-06-02T02:06:37.107825+00:00
M142,142,Male,Handicap,Archived,8,10:14:14 AM,10:16:30 AM,2026-06-02T02:14:28.325262+00:00,2026-06-02T02:06:23.159834+00:00
F67,67,Female,Female,Archived,7,10:06:08 AM,10:08:41 AM,2026-06-02T02:06:15.832032+00:00,2026-06-02T02:06:02.247278+00:00
M187,187,Male,Male,Archived,6,10:13:07 AM,10:15:16 AM,2026-06-02T02:14:25.771415+00:00,2026-06-02T02:05:26.549919+00:00
M184,184,Male,Male,Archived,5,10:10:06 AM,10:13:04 AM,2026-06-02T02:10:29.44482+00:00,2026-06-02T02:03:22.573463+00:00
M11,11,Male,Male,Archived,4,10:08:27 AM,10:10:04 AM,2026-06-02T02:08:54.855133+00:00,2026-06-02T02:03:10.028626+00:00
M7,7,Male,Male,Archived,3,10:05:01 AM,10:07:51 AM,2026-06-02T02:05:16.965811+00:00,2026-06-02T02:00:42.423744+00:00
M93,93,Male,Male,Archived,2,10:02:19 AM,10:04:59 AM,2026-06-02T02:02:44.780005+00:00,2026-06-02T02:00:35.797799+00:00
M123,123,Male,Male,Archived,1,09:57:18 AM,10:02:10 AM,2026-06-02T02:00:25.007865+00:00,2026-06-02T01:56:58.346124+00:00
