,queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
38,M55,55,Male,Male,Archived,1,10:44:42 AM,10:46:42 AM,2026-06-03T02:44:42.1384+00:00,2026-06-03T02:44:35.406018+00:00
39,M132,132,Male,Male,Archived,1,10:39:20 AM,10:41:55 AM,2026-06-03T02:39:20.292648+00:00,2026-06-03T02:38:44.009666+00:00
40,M184,184,Male,Male,Archived,30,10:33:56 AM,10:36:34 AM,2026-06-03T02:33:56.779772+00:00,2026-06-03T02:32:21.098915+00:00
41,F117,117,Female,Female,Archived,29,10:31:39 AM,10:33:40 AM,2026-06-03T02:31:39.339223+00:00,2026-06-03T02:31:32.626972+00:00
42,M9,9,Male,Handicap,Archived,28,10:31:26 AM,10:33:58 AM,2026-06-03T02:31:27.222645+00:00,2026-06-03T02:30:17.973972+00:00
43,M18,18,Male,Male,Archived,27,10:30:56 AM,10:33:52 AM,2026-06-03T02:30:56.537171+00:00,2026-06-03T02:26:09.031299+00:00
44,M109,109,Male,Handicap,Archived,26,10:28:19 AM,10:31:23 AM,2026-06-03T02:28:19.643297+00:00,2026-06-03T02:24:19.811269+00:00
45,M187,187,Male,Male,Archived,25,10:28:16 AM,10:30:52 AM,2026-06-03T02:28:16.229009+00:00,2026-06-03T02:23:59.099808+00:00
46,F159,159,Female,Female,Archived,24,10:20:25 AM,10:25:08 AM,2026-06-03T02:20:26.116291+00:00,2026-06-03T02:18:34.366779+00:00
47,M75,75,Male,Male,Archived,23,10:26:09 AM,10:28:13 AM,2026-06-03T02:26:09.254849+00:00,2026-06-03T02:15:48.694431+00:00
48,M46,46,Male,Handicap,Archived,22,10:25:11 AM,10:28:11 AM,2026-06-03T02:25:11.95734+00:00,2026-06-03T02:11:59.123331+00:00
49,M181,181,Male,Male,Archived,21,10:23:49 AM,10:25:16 AM,2026-06-03T02:23:49.549137+00:00,2026-06-03T02:11:52.916435+00:00
50,M61,61,Male,Handicap,Archived,20,10:21:45 AM,10:25:05 AM,2026-06-03T02:21:45.373083+00:00,2026-06-03T02:11:36.002436+00:00
51,M31,31,Male,Male,Archived,19,10:20:43 AM,10:23:45 AM,2026-06-03T02:20:44.023503+00:00,2026-06-03T02:11:15.233214+00:00
52,M65,65,Male,Handicap,Archived,18,10:18:31 AM,10:21:17 AM,2026-06-03T02:18:32.046403+00:00,2026-06-03T02:07:18.145383+00:00
53,F14,14,Female,Female,Archived,17,10:17:16 AM,10:20:19 AM,2026-06-03T02:17:16.651053+00:00,2026-06-03T02:05:31.424032+00:00
54,M88,88,Male,Male,Archived,16,10:18:27 AM,10:20:36 AM,2026-06-03T02:18:27.645167+00:00,2026-06-03T02:04:17.706293+00:00
55,M135,135,Male,Male,Archived,15,10:15:47 AM,10:18:24 AM,2026-06-03T02:15:47.589514+00:00,2026-06-03T02:04:15.08107+00:00
56,F67,67,Female,Female,Archived,14,10:13:52 AM,10:17:05 AM,2026-06-03T02:13:52.629856+00:00,2026-06-03T02:03:44.394372+00:00
57,M11,11,Male,Handicap,Archived,13,10:13:22 AM,10:17:29 AM,2026-06-03T02:13:22.381718+00:00,2026-06-03T02:02:01.740191+00:00
58,F58,58,Female,Female,Archived,12,10:10:29 AM,10:13:47 AM,2026-06-03T02:10:29.441266+00:00,2026-06-03T02:01:41.553016+00:00
59,M7,7,Male,Male,Archived,11,10:12:26 AM,10:15:38 AM,2026-06-03T02:13:08.206682+00:00,2026-06-03T02:01:29.591088+00:00
60,M19,19,Male,Handicap,Archived,10,10:10:56 AM,10:13:11 AM,2026-06-03T02:10:57.028976+00:00,2026-06-03T02:01:10.223335+00:00
61,M123,123,Male,Male,Archived,9,10:09:56 AM,10:12:20 AM,2026-06-03T02:09:56.38188+00:00,2026-06-03T01:55:09.784175+00:00
62,M143,143,Male,Handicap,Archived,8,10:04:55 AM,10:07:36 AM,2026-06-03T02:04:55.147996+00:00,2026-06-03T01:46:53.455285+00:00
63,F111,111,Female,Female,Archived,7,10:05:28 AM,10:08:16 AM,2026-06-03T02:05:28.270644+00:00,2026-06-03T01:45:40.379198+00:00
64,F169,169,Female,Female,Archived,6,10:02:38 AM,10:05:25 AM,2026-06-03T02:02:38.517533+00:00,2026-06-03T01:44:52.594018+00:00
65,M95,95,Male,Male,Archived,5,10:04:49 AM,10:07:33 AM,2026-06-03T02:04:50.00075+00:00,2026-06-03T01:44:09.237763+00:00
66,M86,86,Male,Male,Archived,4,10:02:33 AM,10:04:45 AM,2026-06-03T02:02:33.804578+00:00,2026-06-03T01:43:35.203043+00:00
67,M158,158,Male,Handicap,Archived,1,09:25:55 AM,09:29:26 AM,2026-06-03T01:25:55.296422+00:00,2026-06-03T01:25:52.514634+00:00
